city,year,weekofyear,total_cases
sj,2011,9,7
sj,2011,10,6
sj,2011,11,4
sj,2011,12,3
sj,2011,13,4
sj,2011,14,6
sj,2011,15,3
sj,2011,16,6
sj,2011,17,4
sj,2011,18,11
sj,2011,19,5
sj,2011,20,0
sj,2011,21,2
sj,2011,22,26
sj,2011,23,20
sj,2011,24,15
sj,2011,25,56
sj,2011,26,70
sj,2011,27,27
sj,2011,28,50
sj,2011,29,40
sj,2011,30,56
sj,2011,31,43
sj,2011,32,52
sj,2011,33,86
sj,2011,34,53
sj,2011,35,71
sj,2011,36,82
sj,2011,37,79
sj,2011,38,37
sj,2011,39,45
sj,2011,40,73
sj,2011,41,67
sj,2011,42,46
sj,2011,43,26
sj,2011,44,53
sj,2011,45,24
sj,2011,46,19
sj,2011,47,20
sj,2011,48,28
sj,2011,49,20
sj,2011,50,27
sj,2011,51,9
sj,2012,52,7
sj,2012,1,17
sj,2012,2,16
sj,2012,3,17
sj,2012,4,12
sj,2012,5,10
sj,2012,6,10
sj,2012,7,8
sj,2012,8,12
sj,2012,9,6
sj,2012,10,5
sj,2012,11,4
sj,2012,12,3
sj,2012,13,5
sj,2012,14,5
sj,2012,15,7
sj,2012,16,4
sj,2012,17,5
sj,2012,18,12
sj,2012,19,5
sj,2012,20,10
sj,2012,21,11
sj,2012,22,14
sj,2012,23,23
sj,2012,24,37
sj,2012,25,77
sj,2012,26,76
sj,2012,27,57
sj,2012,28,39
sj,2012,29,38
sj,2012,30,46
sj,2012,31,82
sj,2012,32,46
sj,2012,33,79
sj,2012,34,90
sj,2012,35,37
sj,2012,36,66
sj,2012,37,89
sj,2012,38,82
sj,2012,39,94
sj,2012,40,83
sj,2012,41,66
sj,2012,42,70
sj,2012,43,67
sj,2012,44,94
sj,2012,45,61
sj,2012,46,29
sj,2012,47,40
sj,2012,48,20
sj,2012,49,22
sj,2012,50,20
sj,2012,51,14
sj,2013,1,15
sj,2013,2,18
sj,2013,3,11
sj,2013,4,11
sj,2013,5,11
sj,2013,6,12
sj,2013,7,10
sj,2013,8,9
sj,2013,9,5
sj,2013,10,8
sj,2013,11,5
sj,2013,12,4
sj,2013,13,10
sj,2013,14,3
sj,2013,15,9
sj,2013,16,12
sj,2013,17,5
iq,2010,26,3
iq,2010,27,3
iq,2010,28,4
iq,2010,29,5
iq,2010,30,4
iq,2010,31,2
iq,2010,32,3
iq,2010,33,4
iq,2010,34,0
iq,2010,35,6
iq,2010,36,4
iq,2010,37,6
iq,2010,38,6
iq,2010,39,2
iq,2010,40,56
iq,2010,41,3
iq,2010,42,15
iq,2010,43,5
iq,2010,44,7
iq,2010,45,4
iq,2010,46,16
iq,2010,47,3
iq,2010,48,8
iq,2010,49,3
iq,2010,50,7
iq,2010,51,7
iq,2011,52,2
iq,2011,1,22
iq,2011,2,10
iq,2011,3,17
iq,2011,4,19
iq,2011,5,15
iq,2011,6,14
iq,2011,7,15
iq,2011,8,23
iq,2011,9,12
iq,2011,10,11
iq,2011,11,6
iq,2011,12,9
iq,2011,13,8
iq,2011,14,1
iq,2011,15,7
iq,2011,16,3
iq,2011,17,5
iq,2011,18,7
iq,2011,19,4
iq,2011,20,4
iq,2011,21,4
iq,2011,22,3
iq,2011,23,4
iq,2011,24,1
iq,2011,25,2
iq,2011,26,3
iq,2011,27,1
iq,2011,28,3
iq,2011,29,4
iq,2011,30,3
iq,2011,31,9
iq,2011,32,5
iq,2011,33,3
iq,2011,34,1
iq,2011,35,0
iq,2011,36,3
iq,2011,37,4
iq,2011,38,7
iq,2011,39,9
iq,2011,40,2
iq,2011,41,6
iq,2011,42,4
iq,2011,43,14
iq,2011,44,10
iq,2011,45,19
iq,2011,46,5
iq,2011,47,3
iq,2011,48,7
iq,2011,49,10
iq,2011,50,18
iq,2011,51,20
iq,2012,52,4
iq,2012,1,19
iq,2012,2,15
iq,2012,3,21
iq,2012,4,14
iq,2012,5,14
iq,2012,6,17
iq,2012,7,26
iq,2012,8,20
iq,2012,9,11
iq,2012,10,9
iq,2012,11,3
iq,2012,12,3
iq,2012,13,11
iq,2012,14,4
iq,2012,15,4
iq,2012,16,3
iq,2012,17,4
iq,2012,18,4
iq,2012,19,2
iq,2012,20,7
iq,2012,21,4
iq,2012,22,3
iq,2012,23,2
iq,2012,24,2
iq,2012,25,3
iq,2012,26,4
iq,2012,27,2
iq,2012,28,2
iq,2012,29,3
iq,2012,30,8
iq,2012,31,1
iq,2012,32,2
iq,2012,33,3
iq,2012,34,8
iq,2012,35,5
iq,2012,36,5
iq,2012,37,1
iq,2012,38,5
iq,2012,39,7
iq,2012,40,4
iq,2012,41,9
iq,2012,42,6
iq,2012,43,7
iq,2012,44,9
iq,2012,45,1
iq,2012,46,6
iq,2012,47,12
iq,2012,48,4
iq,2012,49,9
iq,2012,50,3
iq,2012,51,6
iq,2013,1,18
iq,2013,2,16
iq,2013,3,20
iq,2013,4,21
iq,2013,5,28
iq,2013,6,21
iq,2013,7,19
iq,2013,8,18
iq,2013,9,11
iq,2013,10,11
iq,2013,11,9
iq,2013,12,9
iq,2013,13,11
iq,2013,14,10
iq,2013,15,4
iq,2013,16,7
iq,2013,17,4
iq,2013,18,3
iq,2013,19,7
iq,2013,20,5
iq,2013,21,2
iq,2013,22,5
iq,2013,23,3
iq,2013,24,2
iq,2013,25,4
iq,2013,26,2
